CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
62-53-3,1.022,100,DCM,400,90/10,10,2024-11-26_14-51-52,NH2,286,1402,C1=CC=C(C=C1)N,286,1402
62-53-3,1.022,100,DCM,400,80/20,10,2024-11-26_15-39-15,NH2,2324,2319,C1=CC=C(C=C1)N,2324,2319
62-53-3,1.022,100,DCM,400,70/30,10,2024-11-26_15-43-22,NH2,455,1443,C1=CC=C(C=C1)N,455,1443
62-53-3,1.022,100,DCM,400,60/40,10,2024-11-26_15-48-04,NH2,451,1791,C1=CC=C(C=C1)N,451,1791
62-53-3,1.022,100,DCM,400,50/50,10,2024-11-26_15-57-23,NH2,393,4507,C1=CC=C(C=C1)N,393,4507
93-98-1,1.315,100,DCM,400,90/10,10,2024-11-26_16-12-28,NH2,265,1110,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,265,1110
93-98-1,1.315,100,DCM,400,80/20,10,2024-11-26_16-43-03,NH2,-1,-1,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,-1,-1
93-98-1,1.315,100,DCM,400,70/30,10,2024-11-26_16-47-05,NH2,267,1341,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,267,1341
93-98-1,1.315,100,DCM,400,60/40,10,2024-11-26_17-17-39,NH2,-1,-1,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,-1,-1
93-98-1,1.315,100,DCM,400,50/50,10,2024-11-26_17-21-46,NH2,220,1385,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,220,1385
89-86-1,1.3725,100,DCM,400,90/10,10,2024-11-26_18-02-05,NH2,278,710,C1=CC(=C(C=C1O)O)C(=O)O  ,278,710
89-86-1,1.3725,100,DCM,400,80/20,10,2024-11-26_18-07-07,NH2,463,1967,C1=CC(=C(C=C1O)O)C(=O)O  ,463,1967
89-86-1,1.3725,100,DCM,400,70/30,10,2024-11-26_18-11-54,NH2,458,1847,C1=CC(=C(C=C1O)O)C(=O)O  ,458,1847
89-86-1,1.3725,100,DCM,400,60/40,10,2024-11-26_18-21-33,NH2,449,4704,C1=CC(=C(C=C1O)O)C(=O)O  ,449,4704
89-86-1,1.3725,100,DCM,400,50/50,10,2024-11-26_18-34-12,NH2,414,5803,C1=CC(=C(C=C1O)O)C(=O)O  ,414,5803
123-31-9,1.32,100,DCM,400,90/10,10,2024-11-26_19-53-31,NH2,255,1264,C1=CC(=CC=C1O)O,255,1264
123-31-9,1.32,100,DCM,400,80/20,10,2024-11-26_19-57-13,NH2,486,1159,C1=CC(=CC=C1O)O,486,1159
123-31-9,1.32,100,DCM,400,70/30,10,2024-11-26_20-01-00,NH2,485,1218,C1=CC(=CC=C1O)O,485,1218
123-31-9,1.32,100,DCM,400,60/40,10,2024-11-26_20-16-42,NH2,256,929,C1=CC(=CC=C1O)O,256,929
123-31-9,1.32,100,DCM,400,50/50,10,2024-11-26_20-20-28,NH2,433,1247,C1=CC(=CC=C1O)O,433,1247
92-52-4,0.992,100,DCM,400,90/10,10,2024-11-26_20-26-20,NH2,295,836,C1=CC=C(C=C1)C2=CC=CC=C2,295,836
92-52-4,0.992,100,DCM,400,80/20,10,2024-11-26_20-29-52,NH2,488,1082,C1=CC=C(C=C1)C2=CC=CC=C2,488,1082
92-52-4,0.992,100,DCM,400,70/30,10,2024-11-26_20-34-59,NH2,484,2016,C1=CC=C(C=C1)C2=CC=CC=C2,484,2016
92-52-4,0.992,100,DCM,400,60/40,10,2024-11-26_20-40-51,NH2,480,2480,C1=CC=C(C=C1)C2=CC=CC=C2,480,2480
92-52-4,0.992,100,DCM,400,50/50,10,2024-11-26_20-44-13,NH2,484,976,C1=CC=C(C=C1)C2=CC=CC=C2,484,976
941-98-0,1.12,100,DCM,400,90/10,10,2024-11-27_19-26-21,NH2,556,932,CC(=O)C1=CC=CC2=CC=CC=C21,556,932
941-98-0,1.12,100,DCM,400,80/20,10,2024-11-27_19-29-43,NH2,552,953,CC(=O)C1=CC=CC2=CC=CC=C21,552,953
941-98-0,1.12,100,DCM,400,70/30,10,2024-11-27_19-33-10,NH2,554,1022,CC(=O)C1=CC=CC2=CC=CC=C21,554,1022
941-98-0,1.12,100,DCM,400,60/40,10,2024-11-27_19-36-41,NH2,562,1058,CC(=O)C1=CC=CC2=CC=CC=C21,562,1058
941-98-0,1.12,100,DCM,400,50/50,10,2024-11-27_19-40-23,NH2,552,1156,CC(=O)C1=CC=CC2=CC=CC=C21,552,1156
103-36-6,1.049,100,DCM,400,90/10,10,2024-11-27_20-00-34,NH2,285,2204,CCOC(=O)/C=C/C1=CC=CC=C1,285,2204
103-36-6,1.049,100,DCM,400,80/20,10,2024-11-27_20-04-51,NH2,469,1545,CCOC(=O)/C=C/C1=CC=CC=C1,469,1545
103-36-6,1.049,100,DCM,400,70/30,10,2024-11-27_20-10-54,NH2,455,2578,CCOC(=O)/C=C/C1=CC=CC=C1,455,2578
103-36-6,1.049,100,DCM,400,60/40,10,2024-11-27_20-36-47,NH2,450,14385,CCOC(=O)/C=C/C1=CC=CC=C1,450,14385
98-80-6,1.13,100,MeOH,400,90/10,10,2024-11-27_20-42-32,NH2,307,650,B(C1=CC=CC=C1)(O)O,307,650
98-80-6,1.13,100,MeOH,400,80/20,10,2024-11-27_20-45-38,NH2,503,831,B(C1=CC=CC=C1)(O)O,503,831
609-06-3,1.525,100,H2O,400,90/10,10,2024-11-28_13-08-08,NH2,289,1280,C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,289,1280
609-06-3,1.525,100,H2O,400,80/20,10,2024-11-28_13-21-57,NH2,2351,3021,C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,2351,3021
637-59-2,1.31,100,DCM,400,90/10,10,2024-11-29_15-47-40,NH2,316,690,C1=CC=C(C=C1)CCCBr,316,690
637-59-2,1.31,100,DCM,400,80/20,10,2024-11-29_15-50-56,NH2,492,911,C1=CC=C(C=C1)CCCBr,492,911
637-59-2,1.31,100,DCM,400,70/30,10,2024-11-29_15-54-28,NH2,502,1055,C1=CC=C(C=C1)CCCBr,502,1055
637-59-2,1.31,100,DCM,400,60/40,10,2024-11-29_16-00-15,NH2,462,2410,C1=CC=C(C=C1)CCCBr,462,2410
637-59-2,1.31,100,DCM,400,50/50,10,2024-11-29_16-10-19,NH2,516,4956,C1=CC=C(C=C1)CCCBr,516,4956
122-97-4,1.001,100,DCM,400,90/10,10,2024-11-29_16-13-35,NH2,306,555,C1=CC=C(C=C1)CCCO,306,555
122-97-4,1.001,100,DCM,400,80/20,10,2024-11-29_16-16-56,NH2,486,965,C1=CC=C(C=C1)CCCO,486,965
122-97-4,1.001,100,DCM,400,70/30,10,2024-11-29_16-20-08,NH2,483,859,C1=CC=C(C=C1)CCCO,483,859
122-97-4,1.001,100,DCM,400,60/40,10,2024-11-29_16-50-42,NH2,-1,-1,C1=CC=C(C=C1)CCCO,-1,-1
122-97-4,1.001,100,DCM,400,50/50,10,2024-11-29_16-53-24,NH2,257,590,C1=CC=C(C=C1)CCCO,257,590
26537-19-9,0.995,100,DCM,400,90/10,10,2024-11-29_17-21-28,NH2,299,706,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,299,706
26537-19-9,0.995,100,DCM,400,80/20,10,2024-11-29_17-24-55,NH2,498,1028,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,498,1028
26537-19-9,0.995,100,DCM,400,70/30,10,2024-11-29_17-28-22,NH2,494,1014,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,494,1014
26537-19-9,0.995,100,DCM,400,60/40,10,2024-11-29_17-31-43,NH2,476,995,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,476,995
26537-19-9,0.995,100,DCM,400,50/50,10,2024-11-29_17-36-10,NH2,446,1641,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,446,1641
624-48-6,1.152,100,DCM,400,90/10,10,2024-11-29_17-47-18,NH2,285,1400,COC(=O)/C=C\C(=O)OC  ,285,1400
624-48-6,1.152,100,DCM,400,80/20,10,2024-11-29_17-52-10,NH2,473,1853,COC(=O)/C=C\C(=O)OC  ,473,1853
624-48-6,1.152,100,DCM,400,70/30,10,2024-11-29_17-56-42,NH2,461,1699,COC(=O)/C=C\C(=O)OC  ,461,1699
624-48-6,1.152,100,DCM,400,60/40,10,2024-11-29_18-05-00,NH2,456,3927,COC(=O)/C=C\C(=O)OC  ,456,3927
624-48-6,1.152,100,DCM,400,50/50,10,2024-11-29_18-19-55,NH2,350,6711,COC(=O)/C=C\C(=O)OC  ,350,6711
626-34-6,1.022,100,DCM,400,90/10,10,2024-11-29_18-32-25,NH2,278,1227,CCOC(=O)/C=C(/C)\N,278,1227
626-34-6,1.022,100,DCM,400,80/20,10,2024-11-29_18-37-37,NH2,478,2054,CCOC(=O)/C=C(/C)\N,478,2054
626-34-6,1.022,100,DCM,400,70/30,10,2024-11-29_18-42-09,NH2,475,1658,CCOC(=O)/C=C(/C)\N,475,1658
626-34-6,1.022,100,DCM,400,60/40,10,2024-11-29_18-46-11,NH2,467,1363,CCOC(=O)/C=C(/C)\N,467,1363
626-34-6,1.022,100,DCM,400,50/50,10,2024-11-29_18-50-43,NH2,429,1659,CCOC(=O)/C=C(/C)\N,429,1659
